rating_id,user_id,movie_id,rating
1,195,241,3
2,185,301,3
3,21,376,1
4,243,50,2
5,165,345,1
6,297,473,4
7,114,264,2
8,252,464,5
9,304,450,3
10,5,85,3
11,61,256,2
12,285,1013,5
13,199,221,5
14,209,39,3
15,223,28,3
16,302,784,3
17,121,386,5
18,193,273,2
19,290,1041,4
20,233,1183,2
21,118,391,4
22,166,485,4
23,298,143,4
24,290,117,2
25,307,0,4
26,94,545,2
27,37,94,5
28,101,767,2
29,62,276,4
30,159,233,5
31,49,245,3
32,300,97,4
33,224,192,4
34,289,87,4
35,96,193,3
36,156,273,4
37,180,1080,1
38,277,602,5
39,275,795,1
40,6,31,4
41,9,15,4
42,283,303,4
43,200,978,2
44,275,563,3
45,286,326,5
46,245,200,5
47,241,1136,5
48,248,240,5
49,98,3,5
50,177,331,3
51,250,99,4
52,80,431,2
53,259,321,4
54,24,180,5
55,58,195,5
56,71,678,2
57,86,383,4
58,289,142,5
59,41,422,5
60,291,514,4
61,114,19,3
62,19,287,1
63,200,218,4
64,12,525,3
65,245,918,4
66,137,25,5
67,166,231,1
68,59,426,5
69,56,303,5
70,222,273,4
71,188,511,4
72,242,14,3
73,91,1048,1
74,245,415,3
75,193,164,4
76,240,689,2
77,177,247,4
78,253,1443,3
79,292,4,3
80,126,228,5
81,224,236,5
82,298,228,3
83,224,479,5
84,275,53,3
85,290,143,5
86,221,365,4
87,266,517,5
88,41,402,3
89,10,110,4
90,94,624,4
91,7,337,4
92,161,24,4
93,86,1015,4
94,278,153,5
95,144,274,2
96,118,1152,5
97,61,497,4
98,61,381,3
99,27,208,4
100,134,22,4
101,31,293,3
102,89,381,5
103,285,207,4
104,292,684,3
105,215,143,4
106,165,327,5
107,249,495,4
108,270,131,5
109,159,173,5
110,264,117,4
111,197,497,3
112,41,95,5
113,167,150,5
114,109,306,4
115,57,143,4
116,89,647,4
117,270,345,4
118,61,20,3
119,278,831,3
120,236,513,4
121,93,788,4
122,127,484,3
123,297,316,4
124,43,194,5
125,263,199,5
126,193,384,2
127,71,194,5
128,221,749,5
129,249,263,3
130,40,264,3
131,223,244,3
132,81,134,3
133,261,1146,4
134,292,470,3
135,215,657,3
136,249,139,3
137,58,22,5
138,285,378,5
139,243,814,4
140,6,478,4
141,173,367,1
142,86,273,4
143,193,1210,2
144,81,1133,2
145,12,835,2
146,12,271,4
147,243,755,2
148,304,426,5
149,94,786,2
150,42,13,2
151,298,954,4
152,56,418,3
153,83,404,3
154,268,503,4
155,298,110,3
156,193,465,4
157,159,134,4
158,98,267,3
159,9,485,4
160,258,116,4
161,84,426,3
162,302,918,4
163,212,272,5
164,120,513,3
165,89,97,5
166,48,558,2
167,41,793,3
168,154,322,2
169,67,116,4
170,171,176,4
171,18,3,4
172,267,230,4
173,4,1,3
174,304,116,2
175,43,293,4
176,42,136,4
177,278,1335,1
178,79,465,5
179,253,163,4
180,297,280,3
181,278,1239,1
182,65,297,4
183,17,442,3
184,267,1034,2
185,98,78,4
186,12,97,4
187,25,257,3
188,6,454,4
189,221,754,4
190,199,672,5
191,118,327,4
192,212,171,5
193,275,321,3
194,93,1216,3
195,129,378,4
196,37,327,4
197,159,718,3
198,292,1266,3
199,25,929,2
200,129,215,4
201,91,1078,3
202,255,451,4
203,0,60,4
204,71,47,4
205,55,754,3
206,12,359,4
207,14,404,2
208,91,76,3
209,206,475,2
210,291,173,5
211,231,482,5
212,250,747,2
213,223,25,3
214,180,219,4
215,258,254,4
216,304,470,4
217,51,279,3
218,160,201,5
219,147,407,5
220,124,234,2
221,96,227,5
222,57,1097,4
223,82,233,4
224,89,346,4
225,271,177,5
226,193,180,3
227,124,477,4
228,109,687,1
229,298,13,4
230,150,9,5
231,268,126,4
232,5,13,5
233,53,105,3
234,302,68,5
235,15,943,1
236,300,789,4
237,275,1090,3
238,304,213,2
239,193,1027,2
240,90,322,2
241,86,553,4
242,293,108,4
243,285,170,4
244,199,317,5
245,228,327,1
246,177,567,4
247,302,841,2
248,61,64,4
249,206,590,3
250,91,171,4
251,300,400,4
252,35,338,5
253,69,745,3
254,62,241,3
255,27,200,3
256,278,67,4
257,249,6,4
258,13,97,3
259,298,1017,3
260,193,53,3
261,302,814,3
262,118,236,5
263,294,217,5
264,267,929,2
265,267,1,2
266,65,257,4
267,232,201,5
268,82,622,4
269,213,333,3
270,191,475,2
271,99,343,4
272,267,144,1
273,300,55,4
274,306,88,5
275,233,140,3
276,82,575,4
277,180,263,2
278,296,132,4
279,37,152,5
280,6,381,4
281,263,812,4
282,180,871,1
283,200,145,1
284,84,506,4
285,268,366,3
286,58,467,3
287,285,142,4
288,192,95,1
289,112,594,5
290,291,10,5
291,129,1013,3
292,274,97,4
293,188,519,5
294,218,81,1
295,217,208,5
296,122,426,3
297,118,221,5
